Scenario - KSS_brief1
Logfile written - 01/09/2019 07:59:04

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

	790	Response	3	131969	41	0
	815	Response	3	136149	51	0
	906	Response	1	151439	163	0
	925	Response	1	154489	44	0
	935	Response	3	156159	46	0
	945	Response	1	157839	58	0
	951	Response	3	158858	77	0
	956	Response	1	159758	142	0
	963	Response	3	160899	116	0
	967	Response	1	161587	137	0
	974	Response	3	162758	141	0
	978	Response	1	163338	53	0
	986	Response	3	164698	79	0
	990	Response	1	165369	83	0
	998	Response	3	166768	147	0
	1000	Response	1	167078	124	0
	1022	Response	3	170669	46	0
	1039	Response	3	173559	100	0
	1096	Response	1	182997	32	0
	1112	Response	3	185719	85	0
	1123	Response	1	187578	109	0
	1133	Response	3	189189	52	0
	1144	Response	1	190989	17	0
	1153	Response	3	192539	66	0
	1164	Response	1	194377	70	1
	1185	Response	3	197908	98	0
	1440	Response	2	240379	38	0
